name,town,capacity,roofed,latitude,longitude,url
Teatro Auditorio Ciudad de Alcobendas de Alcobendas,Alcobendas,989,True,40.54697738565614,-3.641612355606292,https://www.proyectomire.org/web/datosrecinto.php?id=66
Teatro Banda Primitiva de Lliria de Lliria,Llíria,967,True,39.62781492065697,-0.5978313682229206,https://www.proyectomire.org/web/datosrecinto.php?id=67
Sala 1(Barakaldo Antzokia) de Barakaldo,,673,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=68
Teatro Bellas Artes de Tarazona,Tarazona,577,True,41.90523,-1.7242485690226184,https://www.proyectomire.org/web/datosrecinto.php?id=69
Teatro Bretón de los Herreros de Logroño,Logroño,988,True,42.464922099999995,-2.4485152040404206,https://www.proyectomire.org/web/datosrecinto.php?id=70
Teatro Bulevar(Casa de Cultura) de Torrelodones,,463,True,40.57960855,-3.9566660344640416,https://www.proyectomire.org/web/datosrecinto.php?id=71
Teatro Capitol de Calatayud,,545,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=72
Teatro Cerezo de Carmona,Carmona,985,True,37.47044985532939,-5.644501524389447,https://www.proyectomire.org/web/datosrecinto.php?id=73
Teatro Cervantes de Arnedo,Arnedo,472,True,42.229069068589006,-2.091152238023698,https://www.proyectomire.org/web/datosrecinto.php?id=74
Teatro Cine Comtal de Ripoll,Ripoll,564,True,42.200014178779135,2.189122173082281,https://www.proyectomire.org/web/datosrecinto.php?id=75
Teatro de la Comedia de Madrid,Madrid,845,True,40.4156155,-3.7003987,https://www.proyectomire.org/web/datosrecinto.php?id=78
Teatro de la Latina de Madrid,Madrid,913,True,40.41156575,-3.708773605907534,https://www.proyectomire.org/web/datosrecinto.php?id=79
Teatro de la Villa de Ejea de los Caballeros,,433,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=80
Teatro de la Zarzuela de Madrid,Madrid,1242,True,40.41725705,-3.697192930781628,https://www.proyectomire.org/web/datosrecinto.php?id=81
Teatro de Madrid de Madrid,Madrid,865,True,40.48285271407203,-3.702216646739411,https://www.proyectomire.org/web/datosrecinto.php?id=82
Teatro de Verano de Puerto Real,,2000,False,,,https://www.proyectomire.org/web/datosrecinto.php?id=83
Teatro de Verano José María Pemán de Cádiz,,2548,False,,,https://www.proyectomire.org/web/datosrecinto.php?id=84
Teatro Español de Madrid,Madrid,741,True,40.4258351,-3.6802814,https://www.proyectomire.org/web/datosrecinto.php?id=85
Gran Teatro Fleta de Zaragoza,,1698,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=86
Teatro Gayarre de Pamplona,,864,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=87
Teatro Getxo/ Getxo Antzokia de Getxo,,0,False,0,0,https://www.proyectomire.org/web/datosrecinto.php?id=88
Teatro Jovellanos de Gijón,Gijón / Xixón,1123,True,43.539772095830834,-5.661585202478845,https://www.proyectomire.org/web/datosrecinto.php?id=89
Sala Cándido Lara(Teatro Lara) de Madrid,Madrid,464,True,40.4221297,-3.7043663,https://www.proyectomire.org/web/datosrecinto.php?id=90
Teatro Lope de Vega de Madrid,Madrid,1434,True,40.4217768,-3.70869,https://www.proyectomire.org/web/datosrecinto.php?id=91
Teatro María Guerrero de Madrid,,622,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=92
Teatro Cervantes de Málaga,Málaga,1134,True,36.72475726309074,-4.4181900064860455,https://www.proyectomire.org/web/datosrecinto.php?id=94
Teatro Municipal de Alcañiz,,332,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=95
Teatro Municipal Enrique de la Cuadra de Utrera,Utrera,525,True,37.19213224249142,-5.799559498494321,https://www.proyectomire.org/web/datosrecinto.php?id=96
Teatro Municipal F. G. Lorca(Centro Cultural F. G. Lorca) de San Fernando de Henares,San Fernando de Henares,466,True,40.42454914857131,-3.52863455359894,https://www.proyectomire.org/web/datosrecinto.php?id=97
Teatro Municipal Isabel la Católica de Granada,Granada,574,True,37.1727515,-3.5989994,https://www.proyectomire.org/web/datosrecinto.php?id=98
Teatro Olimpia de Huesca,Huesca/Uesca,774,True,42.14036270915196,-0.41116263061754976,https://www.proyectomire.org/web/datosrecinto.php?id=99
Teatro Palacio Valdés de Avilés,Avilés,747,True,43.55531805,-5.920024764617039,https://www.proyectomire.org/web/datosrecinto.php?id=100
Sa Societat de Calvià,,227,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=101
Teatro Oscense de Huéscar,Huéscar,301,True,37.8121435,-2.540407550717143,https://www.proyectomire.org/web/datosrecinto.php?id=102
Teatro Poliorama de Barcelona,,705,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=103
Teatro Principal de Puerto Real,Puerto Real,406,True,36.532250575480745,-6.200490058105249,https://www.proyectomire.org/web/datosrecinto.php?id=104
Teatro Principal de Reinosa,Reinosa,351,True,43.0020457,-4.136461334593908,https://www.proyectomire.org/web/datosrecinto.php?id=105
Teatro Principal de Zaragoza,,914,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=106
Teatro Real de Madrid,Madrid,1476,True,40.41815215,-3.709463045445115,https://www.proyectomire.org/web/datosrecinto.php?id=107
Teatro Salesiano de Huesca,Huesca/Uesca,569,True,42.1422564,-0.4120400383457926,https://www.proyectomire.org/web/datosrecinto.php?id=108
Teatro Salón Cervantes de Alcalá de Henares,Alcalá de Henares,454,True,40.4832891,-3.3646958500000004,https://www.proyectomire.org/web/datosrecinto.php?id=109
Teatro Social/Social Antzokia de Basauri,Basauri,754,True,43.23584347119878,-2.8868933131885957,https://www.proyectomire.org/web/datosrecinto.php?id=110
Teatro Villamarta de Jerez de la Frontera,,1216,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=111
La Sala Teatre Municipal de Rubi,Rubí,567,True,41.487969189626504,2.0344469462111117,https://www.proyectomire.org/web/datosrecinto.php?id=112
Teatro Marquina de Madrid,Madrid,500,True,40.421955,-3.6938248,https://www.proyectomire.org/web/datosrecinto.php?id=113
Teatro Municipal(Casa de Cultura) de Tres Cantos,Tres Cantos,434,True,40.599276,-3.7109882544634587,https://www.proyectomire.org/web/datosrecinto.php?id=114
Centro Cívico Rigoberta Menchú de Leganés,Leganés,300,True,40.335303083462186,-3.7455513492740278,https://www.proyectomire.org/web/datosrecinto.php?id=115
Real Coliseo de Carlos III de San Lorenzo del Escorial,,500,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=116
Teatro Auditorio Mpal. Adolfo Marsillach(C. S.C. P. Iglesias) de San Sebastián de los Reyes,,701,True,0,0,https://www.proyectomire.org/web/datosrecinto.php?id=117
